"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"114","110.714743608","172.16.10.9","172.16.20.9","TCP","3806","0.162223190","5004  >  39686 [PSH, ACK] Seq=280391 Ack=137 Win=43520 Len=3740 TSval=2165679150 TSecr=3655660376 [TCP segment of a reassembled PDU]"
"116","110.717784574","172.16.10.9","172.16.20.9","TCP","1318","0.002736011","5004  >  39686 [PSH, ACK] Seq=284131 Ack=137 Win=43520 Len=1252 TSval=2165679151 TSecr=3655660539 [TCP segment of a reassembled PDU]"
"118","110.780651478","172.16.10.9","172.16.20.9","TCP","10066","0.062828911","5004  >  39686 [PSH, ACK] Seq=285383 Ack=137 Win=43520 Len=10000 TSval=2165679216 TSecr=3655660542 [TCP segment of a reassembled PDU]"
"120","110.791082494","172.16.10.9","172.16.20.9","TCP","8754","0.010015191","5004  >  39686 [PSH, ACK] Seq=295383 Ack=137 Win=43520 Len=8688 TSval=2165679217 TSecr=3655660542 [TCP segment of a reassembled PDU]"
"122","110.799019062","172.16.10.9","172.16.20.9","TCP","3250","0.007911966","5004  >  39686 [PSH, ACK] Seq=304071 Ack=137 Win=43520 Len=3184 TSval=2165679217 TSecr=3655660605 [TCP segment of a reassembled PDU]"
"124","110.953860813","172.16.10.9","172.16.20.9","TCP","2281","0.154819688","5004  >  39686 [PSH, ACK] Seq=307255 Ack=137 Win=43520 Len=2215 TSval=2165679390 TSecr=3655660623 [TCP segment of a reassembled PDU]"
"126","110.957188424","172.16.10.9","172.16.20.9","TCP","10066","0.003313743","5004  >  39686 [PSH, ACK] Seq=309470 Ack=137 Win=43520 Len=10000 TSval=2165679390 TSecr=3655660778 [TCP segment of a reassembled PDU]"
"128","110.968404129","172.16.10.9","172.16.20.9","TCP","4410","0.010818595","5004  >  39686 [PSH, ACK] Seq=319470 Ack=137 Win=43520 Len=4344 TSval=2165679393 TSecr=3655660778 [TCP segment of a reassembled PDU]"
"130","110.971643715","172.16.10.9","172.16.20.9","TCP","410","0.003216251","5004  >  39686 [PSH, ACK] Seq=323814 Ack=137 Win=43520 Len=344 TSval=2165679394 TSecr=3655660781 [TCP segment of a reassembled PDU]"
"132","111.023278744","172.16.10.9","172.16.20.9","TCP","2963","0.051612197","5004  >  39686 [PSH, ACK] Seq=324158 Ack=137 Win=43520 Len=2897 TSval=2165679459 TSecr=3655660796 [TCP segment of a reassembled PDU]"
"134","111.067487598","172.16.10.9","172.16.20.9","TCP","10066","0.043693754","5004  >  39686 [PSH, ACK] Seq=327055 Ack=137 Win=43520 Len=10000 TSval=2165679503 TSecr=3655660848 [TCP segment of a reassembled PDU]"
"136","111.076673357","172.16.10.9","172.16.20.9","TCP","2962","0.008817558","5004  >  39686 [PSH, ACK] Seq=337055 Ack=137 Win=43520 Len=2896 TSval=2165679503 TSecr=3655660848 [TCP segment of a reassembled PDU]"
"138","111.079734655","172.16.10.9","172.16.20.9","TCP","621","0.003037636","5004  >  39686 [PSH, ACK] Seq=339951 Ack=137 Win=43520 Len=555 TSval=2165679504 TSecr=3655660892 [TCP segment of a reassembled PDU]"
"140","111.222450659","172.16.10.9","172.16.20.9","TCP","4638","0.142667436","5004  >  39686 [PSH, ACK] Seq=340506 Ack=137 Win=43520 Len=4572 TSval=2165679658 TSecr=3655660904 [TCP segment of a reassembled PDU]"
"142","111.333098860","172.16.10.9","172.16.20.9","TCP","10066","0.108376372","5004  >  39686 [PSH, ACK] Seq=345078 Ack=137 Win=43520 Len=10000 TSval=2165679769 TSecr=3655661049 [TCP segment of a reassembled PDU]"
"144","111.346774483","172.16.10.9","172.16.20.9","TCP","5858","0.008440038","5004  >  39686 [PSH, ACK] Seq=355078 Ack=137 Win=43520 Len=5792 TSval=2165679770 TSecr=3655661049 [TCP segment of a reassembled PDU]"
"146","111.351206812","172.16.10.9","172.16.20.9","TCP","1243","0.004398907","5004  >  39686 [PSH, ACK] Seq=360870 Ack=137 Win=43520 Len=1177 TSval=2165679774 TSecr=3655661162 [TCP segment of a reassembled PDU]"
"148","111.473879640","172.16.10.9","172.16.20.9","TCP","10066","0.122130646","5004  >  39686 [PSH, ACK] Seq=362047 Ack=137 Win=43520 Len=10000 TSval=2165679910 TSecr=3655661176 [TCP segment of a reassembled PDU]"
"150","111.483122022","172.16.10.9","172.16.20.9","TCP","10066","0.009192733","5004  >  39686 [PSH, ACK] Seq=372047 Ack=137 Win=43520 Len=10000 TSval=2165679910 TSecr=3655661298 [TCP segment of a reassembled PDU]"
"152","111.493944435","172.16.10.9","172.16.20.9","TCP","488","0.010784170","5004  >  39686 [PSH, ACK] Seq=382047 Ack=137 Win=43520 Len=422 TSval=2165679919 TSecr=3655661307 [TCP segment of a reassembled PDU]"
"154","111.578370739","172.16.10.9","172.16.20.9","TCP","10066","0.083612734","5004  >  39686 [PSH, ACK] Seq=382469 Ack=137 Win=43520 Len=10000 TSval=2165680014 TSecr=3655661319 [TCP segment of a reassembled PDU]"
