"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"170","4.050869028","172.16.20.1","172.16.20.9","TCP","7306","0.047444545","5004  >  36330 [PSH, ACK] Seq=472924 Ack=1 Win=85 Len=7240 TSval=2121623373 TSecr=3180720194"
"172","4.057110508","172.16.20.1","172.16.20.9","TCP","2826","0.005822563","5004  >  36330 [PSH, ACK] Seq=480164 Ack=1 Win=85 Len=2760 TSval=2121623373 TSecr=3180720194"
"174","4.060340419","172.16.20.1","172.16.20.9","TCP","1514","0.003208489","5004  >  36330 [ACK] Seq=482924 Ack=1 Win=85 Len=1448 TSval=2121623374 TSecr=3180720242"
"175","4.062218912","172.16.20.1","172.16.20.9","TCP","238","0.001878493","5004  >  36330 [PSH, ACK] Seq=484372 Ack=1 Win=85 Len=172 TSval=2121623380 TSecr=3180720248"
"177","4.243729567","172.16.20.1","172.16.20.9","TCP","7306","0.181497745","5004  >  36330 [PSH, ACK] Seq=484544 Ack=1 Win=85 Len=7240 TSval=2121623566 TSecr=3180720253"
"179","4.250457606","172.16.20.1","172.16.20.9","TCP","2826","0.006679589","5004  >  36330 [PSH, ACK] Seq=491784 Ack=1 Win=85 Len=2760 TSval=2121623566 TSecr=3180720253"
"181","4.253317544","172.16.20.1","172.16.20.9","TCP","8754","0.002794154","5004  >  36330 [PSH, ACK] Seq=494544 Ack=1 Win=85 Len=8688 TSval=2121623566 TSecr=3180720434"
"183","4.261827797","172.16.20.1","172.16.20.9","TCP","8754","0.008455008","5004  >  36330 [PSH, ACK] Seq=503232 Ack=1 Win=85 Len=8688 TSval=2121623566 TSecr=3180720434"
"185","4.271377075","172.16.20.1","172.16.20.9","TCP","5858","0.009524222","5004  >  36330 [PSH, ACK] Seq=511920 Ack=1 Win=85 Len=5792 TSval=2121623576 TSecr=3180720444"
"187","4.277084341","172.16.20.1","172.16.20.9","TCP","10202","0.005682999","5004  >  36330 [PSH, ACK] Seq=517712 Ack=1 Win=85 Len=10136 TSval=2121623576 TSecr=3180720444"
"189","4.288033584","172.16.20.1","172.16.20.9","TCP","5858","0.010898383","5004  >  36330 [PSH, ACK] Seq=527848 Ack=1 Win=85 Len=5792 TSval=2121623594 TSecr=3180720462"
"191","4.293781445","172.16.20.1","172.16.20.9","TCP","4142","0.005723851","5004  >  36330 [PSH, ACK] Seq=533640 Ack=1 Win=85 Len=4076 TSval=2121623600 TSecr=3180720462"
"193","4.301544530","172.16.20.1","172.16.20.9","TCP","4410","0.007743215","5004  >  36330 [PSH, ACK] Seq=537716 Ack=1 Win=85 Len=4344 TSval=2121623612 TSecr=3180720479"
"195","4.304776688","172.16.20.1","172.16.20.9","TCP","559","0.003197595","5004  >  36330 [PSH, ACK] Seq=542060 Ack=1 Win=85 Len=493 TSval=2121623624 TSecr=3180720492"
"197","4.506661278","172.16.20.1","172.16.20.9","TCP","4410","0.201677353","5004  >  36330 [PSH, ACK] Seq=542553 Ack=1 Win=85 Len=4344 TSval=2121623829 TSecr=3180720495"
"199","4.509781119","172.16.20.1","172.16.20.9","TCP","4410","0.002686192","5004  >  36330 [PSH, ACK] Seq=546897 Ack=1 Win=85 Len=4344 TSval=2121623829 TSecr=3180720495"
"201","4.515321442","172.16.20.1","172.16.20.9","TCP","4410","0.004902958","5004  >  36330 [PSH, ACK] Seq=551241 Ack=1 Win=85 Len=4344 TSval=2121623829 TSecr=3180720495"
"203","4.520997927","172.16.20.1","172.16.20.9","TCP","197","0.005653512","5004  >  36330 [PSH, ACK] Seq=555585 Ack=1 Win=85 Len=131 TSval=2121623833 TSecr=3180720700"
